state,Year,Latitude,Longitude,lf,lf_employed,lf_employed_000s,lf_unemployed,lf_outside,p_rate,u_rate,population_000s,lf_employed_per_population,working_population,working_population_000s,lf_employed_per_working_population
Johor,2022,2.0229012,103.3147721,1839.3,1780.7,1780700,58.6,834.1,68.8,3.2,4028300,44.20475138,2827.3,2827300,62.98235065
Kedah,2022,6.209826499,100.3715035,1032.5,997.3,997300,35.2,536.7,65.8,3.4,2163100,46.1051269,1444.8,1444800,69.02685493
Kelantan,2022,5.402130199,102.0635972,787.9,757.3,757300,30.6,493.2,61.5,3.9,1830600,41.36895007,1168.9,1168900,64.78740696
Melaka,2022,2.3293744,102.2880962,453.1,439.5,439500,13.6,210.6,68.3,3,1008600,43.57525283,706.7,706700,62.19046271
Negeri Sembilan,2022,2.731895,102.1925319,510,493.3,493300,16.7,273.7,65.1,3.3,1207900,40.83947347,820.3,820300,60.13653541
Pahang,2022,3.6168822,102.5994547,750.7,732.4,732400,18.4,397.2,65.4,2.4,1614300,45.36951,1095.9,1095900,66.83091523
Perak,2022,4.812181,100.9797908,1128.3,1085.6,1085600,42.7,591.7,65.6,3.8,2514400,43.17531021,1710,1710000,63.48538012
Perlis,2022,6.486839199,100.2577623,115.3,111.4,111400,3.9,62.9,64.7,3.4,289800,38.44030366,208.9,208900,53.32695069
Pulau Pinang,2022,5.406501299,100.2559077,924.7,894.6,894600,30.1,375.9,71.1,3.3,1740900,51.38721351,1275.8,1275800,70.12070858
Sabah,2022,5.425735899,114.5326392,2059.5,1871.1,1871100,188.3,983.5,67.7,9.1,3414900,54.79223403,2357.6,2357600,79.36460808
Sarawak,2022,2.5023855,110.9547283,1440.8,1395,1395000,45.7,602.9,70.5,3.2,2473500,56.39781686,1753.7,1753700,79.54610253
Selangor,2022,3.5083304,101.304146,3715.6,3597.5,3597500,118.1,1231.9,75.1,3.2,7050300,51.02619747,5008.9,5008900,71.82215656
Terengganu,2022,4.8630743,102.9949297,498.8,476.3,476300,22.6,348.1,58.9,4.5,1186600,40.1398955,781.2,781200,60.9703021
Kuala Lumpur,2022,3.1526589,101.7022205,902.4,859.5,859500,42.9,308.2,74.5,4.8,1961200,43.82520906,1457,1457000,58.99107756
Labuan,2022,5.316833599,112.448438,50.5,47,47000,3.5,24,67.8,6.9,96900,48.50361197,65.9,65900,71.32018209
Putrajaya,2022,2.9384381,101.69223,36.5,36.2,36200,0.3,15.4,70.3,1,117000,30.94017094,71.9,71900,50.34770515
Johor,2021,2.0229012,103.3147721,1793.4,1722.6,1722600,70.8,846.6,67.9,3.9,4020000,42.85074627,2812.3,2812300,61.25235572
Kedah,2021,6.209826499,100.3715035,975.5,940.3,940300,35.2,569.1,63.2,3.6,2151700,43.70032997,1436,1436000,65.48050139
Kelantan,2021,5.402130199,102.0635972,698.3,667.8,667800,30.5,562,55.4,4.4,1812300,36.84820394,1153.6,1153600,57.88834951
Melaka,2021,2.3293744,102.2880962,436.4,420.8,420800,15.7,217.7,66.7,3.6,1004500,41.8914883,705.4,705400,59.65409697
Negeri Sembilan,2021,2.731895,102.1925319,498.1,479.5,479500,18.7,282.3,63.8,3.7,1204200,39.81896695,817.2,817200,58.67596672
Pahang,2021,3.6168822,102.5994547,733.6,706.9,706900,26.7,407.9,64.3,3.6,1601500,44.13986887,1079.1,1079100,65.50829395
Perak,2021,4.812181,100.9797908,1088.4,1038.9,1038900,49.5,625.2,63.5,4.6,2515800,41.2950155,1707.6,1707600,60.83977512
Perlis,2021,6.486839199,100.2577623,110.8,105,105000,5.8,66.3,62.6,5.3,287600,36.50904033,207.3,207300,50.6512301
Pulau Pinang,2021,5.406501299,100.2559077,908.5,876.4,876400,32.1,375.8,70.7,3.5,1740000,50.36781609,1274.4,1274400,68.76961707
Sabah,2021,5.425735899,114.5326392,2019.6,1839.4,1839400,180.2,971.8,67.5,8.9,3412600,53.90025201,2334,2334000,78.80891174
Sarawak,2021,2.5023855,110.9547283,1365.7,1301.5,1301500,64.2,657.9,67.5,4.7,2465600,52.78634004,1739.7,1739700,74.81174915
Selangor,2021,3.5083304,101.304146,3881.8,3708.5,3708500,173.2,1047.4,78.8,4.5,7014700,52.86754957,4978.8,4978800,74.48581988
Terengganu,2021,4.8630743,102.9949297,492.4,474.2,474200,18.3,335.8,59.5,3.7,1170700,40.50568036,770.1,770100,61.57641865
Kuala Lumpur,2021,3.1526589,101.7022205,919.6,874.1,874100,45.5,310,74.8,4.9,1964000,44.50610998,1449.7,1449700,60.2952335
