state,Year,category,value
Johor,2022,lf_employed,1780.7
Kedah,2022,lf_employed,997.3
Kelantan,2022,lf_employed,757.3
Melaka,2022,lf_employed,439.5
Negeri Sembilan,2022,lf_employed,493.3
Pahang,2022,lf_employed,732.4
Perak,2022,lf_employed,1085.6
Perlis,2022,lf_employed,111.4
Pulau Pinang,2022,lf_employed,894.6
Sabah,2022,lf_employed,1871.1
Sarawak,2022,lf_employed,1395.0
Selangor,2022,lf_employed,3597.5
Terengganu,2022,lf_employed,476.3
Kuala Lumpur,2022,lf_employed,859.5
Labuan,2022,lf_employed,47.0
Putrajaya,2022,lf_employed,36.2
Johor,2021,lf_employed,1722.6
Kedah,2021,lf_employed,940.3
Kelantan,2021,lf_employed,667.8
Melaka,2021,lf_employed,420.8
Negeri Sembilan,2021,lf_employed,479.5
Pahang,2021,lf_employed,706.9
Perak,2021,lf_employed,1038.9
Perlis,2021,lf_employed,105.0
Pulau Pinang,2021,lf_employed,876.4
Sabah,2021,lf_employed,1839.4
Sarawak,2021,lf_employed,1301.5
Selangor,2021,lf_employed,3708.5
Terengganu,2021,lf_employed,474.2
Kuala Lumpur,2021,lf_employed,874.1
Labuan,2021,lf_employed,45.5
Putrajaya,2021,lf_employed,35.4
Johor,2020,lf_employed,1714.4
Kedah,2020,lf_employed,946.2
Kelantan,2020,lf_employed,702.0
Melaka,2020,lf_employed,438.9
Negeri Sembilan,2020,lf_employed,491.0
Pahang,2020,lf_employed,733.7
Perak,2020,lf_employed,1063.7
Perlis,2020,lf_employed,112.0
Pulau Pinang,2020,lf_employed,850.7
Sabah,2020,lf_employed,1990.9
Sarawak,2020,lf_employed,1309.1
Selangor,2020,lf_employed,3443.8
Terengganu,2020,lf_employed,487.1
Kuala Lumpur,2020,lf_employed,877.2
Labuan,2020,lf_employed,44.4
Putrajaya,2020,lf_employed,38.5
Johor,2019,lf_employed,1743.2
Kedah,2019,lf_employed,928.5
Kelantan,2019,lf_employed,685.7
Melaka,2019,lf_employed,418.6
Negeri Sembilan,2019,lf_employed,488.0
Pahang,2019,lf_employed,717.5
Perak,2019,lf_employed,1044.7
Perlis,2019,lf_employed,108.1
Pulau Pinang,2019,lf_employed,829.4
Sabah,2019,lf_employed,1926.2
Sarawak,2019,lf_employed,1334.1
Selangor,2019,lf_employed,3412.1
Terengganu,2019,lf_employed,463.7
Kuala Lumpur,2019,lf_employed,833.1
Labuan,2019,lf_employed,40.7
Putrajaya,2019,lf_employed,36.6
Johor,2018,lf_employed,1691.7
Kedah,2018,lf_employed,915.8
Kelantan,2018,lf_employed,695.3
Melaka,2018,lf_employed,418.3
Negeri Sembilan,2018,lf_employed,499.2
Pahang,2018,lf_employed,715.2
Perak,2018,lf_employed,1010.0
Perlis,2018,lf_employed,104.6
Pulau Pinang,2018,lf_employed,830.9
Sabah,2018,lf_employed,1830.1
Sarawak,2018,lf_employed,1245.7
